no,name,region,original_score,점수_Base,점수_Price,점수_Growth,점수_Infra,시나리오_표준편차,시나리오_범위
1,서울전체,서울,2.1,2.02,1.94,2.0,2.04,0.043,0.1
2,서초구,서울,1.5,1.33,1.22,1.39,1.37,0.076,0.17
3,송파구,서울,1.7,1.46,1.37,1.47,1.47,0.049,0.1
4,용산구,서울,1.6,1.51,1.46,1.5,1.52,0.026,0.06
5,마포구,서울,2.4,1.82,1.74,1.77,1.84,0.046,0.1
6,성동구,서울,2.3,1.76,1.71,1.72,1.77,0.029,0.06
7,영등포구,서울,2.5,2.01,1.93,1.91,1.99,0.048,0.1
8,양천구,서울,2.5,2.17,2.17,2.2,2.26,0.042,0.09
9,광진구,서울,2.6,2.25,2.16,2.21,2.31,0.063,0.15
10,동작구,서울,2.7,2.21,2.15,2.17,2.26,0.049,0.11
11,관악구,서울,3.0,2.67,2.58,2.57,2.74,0.08,0.17
12,강동구,서울,2.6,2.16,2.1,2.1,2.22,0.057,0.12
13,강서구,서울,3.1,2.38,2.3,2.19,2.38,0.09,0.19
14,구로구,서울,3.3,2.96,2.82,2.84,3.07,0.116,0.25
15,금천구,서울,3.5,3.14,2.98,3.03,3.29,0.137,0.31
16,서대문구,서울,3.0,2.26,2.24,2.19,2.31,0.05,0.12
17,은평구,서울,3.7,2.73,2.71,2.59,2.85,0.106,0.26
18,종로구,서울,2.7,2.13,2.02,1.99,2.06,0.061,0.14
19,중구,서울,2.8,2.1,2.0,1.94,2.04,0.067,0.16
20,성북구,서울,3.2,2.41,2.42,2.35,2.49,0.057,0.14
21,강북구,서울,3.9,3.16,3.06,3.01,3.32,0.137,0.31
22,도봉구,서울,4.0,3.14,3.08,3.01,3.23,0.093,0.22
23,노원구,서울,3.8,2.6,2.7,2.53,2.64,0.071,0.17
24,중랑구,서울,3.6,3.1,2.98,2.96,3.21,0.116,0.25
25,동대문구,서울,3.1,2.23,2.22,2.08,2.18,0.068,0.15
26,인천전체,인천,3.3,3.34,3.38,3.3,3.26,0.052,0.12
27,연수구,인천,2.9,2.98,2.95,3.16,2.86,0.126,0.3
28,서구,인천,3.2,3.0,3.09,3.02,2.96,0.054,0.13
29,부평구,인천,3.4,3.35,3.35,3.34,3.23,0.059,0.12
30,남동구,인천,3.5,3.5,3.43,3.56,3.54,0.057,0.13
31,계양구,인천,3.6,3.47,3.48,3.45,3.46,0.013,0.03
32,미추홀구,인천,3.7,3.68,3.62,3.7,3.65,0.035,0.08
33,동구,인천,4.0,4.02,3.94,4.05,4.11,0.071,0.17
34,중구,인천,3.8,3.36,3.36,3.31,3.37,0.027,0.06
35,성남시전체,성남,2.4,2.23,2.13,2.26,2.2,0.056,0.13
36,분당구,성남,2.2,1.82,1.75,1.86,1.76,0.052,0.11
37,중원구,성남,3.1,2.42,2.32,2.44,2.43,0.056,0.12
38,수정구,성남,3.3,2.54,2.45,2.59,2.59,0.066,0.14
39,수원시전체,수원,3.2,2.86,2.87,2.89,2.84,0.021,0.05
40,영통구,수원,2.8,2.51,2.53,2.52,2.42,0.051,0.11
41,팔달구,수원,3.3,2.84,2.86,2.85,2.82,0.017,0.04
42,장안구,수원,3.5,3.19,3.14,3.24,3.2,0.041,0.1
43,권선구,수원,3.6,3.07,3.07,3.08,3.09,0.01,0.02
44,고양시전체,고양,3.3,2.69,2.77,2.74,2.63,0.061,0.14
45,덕양구,고양,3.5,2.63,2.68,2.64,2.59,0.037,0.09
46,일산동구,고양,3.3,2.95,3.04,3.04,2.92,0.062,0.12
47,일산서구,고양,3.4,3.0,3.1,3.08,2.96,0.066,0.14
48,용인시전체,용인,3.2,2.73,2.72,2.78,2.72,0.029,0.06
49,수지구,용인,2.8,2.63,2.6,2.68,2.58,0.043,0.1
50,기흥구,용인,3.1,2.6,2.62,2.57,2.49,0.057,0.13
51,처인구,용인,4.0,3.15,3.2,3.03,3.22,0.085,0.19
52,안양시전체,안양,3.0,2.6,2.53,2.69,2.56,0.07,0.16
53,동안구,안양,2.8,2.32,2.23,2.44,2.27,0.091,0.21
54,만안구,안양,3.4,3.05,2.97,3.13,3.09,0.068,0.16
55,안산시전체,안산,3.9,3.31,3.28,3.35,3.36,0.037,0.08
56,단원구,안산,3.8,3.38,3.32,3.43,3.43,0.052,0.11
57,상록구,안산,4.0,3.27,3.27,3.3,3.34,0.033,0.07
58,과천시,과천,2.1,1.79,1.54,1.95,1.86,0.176,0.41
59,광명시,광명,2.8,2.49,2.52,2.46,2.41,0.047,0.11
60,하남시,하남,2.9,2.39,2.34,2.43,2.39,0.037,0.09
61,의왕시,의왕,3.2,2.91,2.9,2.96,2.89,0.031,0.07
62,부천시,부천,3.4,2.99,2.97,2.98,2.92,0.031,0.07
63,구리시,구리,3.1,2.8,2.74,2.82,2.76,0.037,0.08
64,남양주시,남양주,3.7,3.22,3.24,3.24,3.24,0.01,0.02
65,의정부시,의정부,4.0,3.54,3.52,3.56,3.59,0.03,0.07
66,시흥시,시흥,4.0,3.35,3.33,3.37,3.41,0.034,0.08
67,김포시,김포,3.8,3.38,3.4,3.39,3.37,0.013,0.03
68,화성시,화성,3.8,2.45,2.56,2.44,2.4,0.068,0.16
69,평택시,평택,4.2,3.29,3.37,3.25,3.33,0.052,0.12
70,파주시,파주,4.3,3.31,3.4,3.24,3.26,0.071,0.16
71,군포시,군포,3.6,3.25,3.22,3.28,3.27,0.026,0.06
72,일산(1기),신도시,3.3,2.95,3.02,2.98,2.87,0.064,0.15
73,평촌(1기),신도시,2.8,2.32,2.23,2.44,2.27,0.091,0.21
74,산본(1기),신도시,3.6,3.25,3.22,3.28,3.27,0.026,0.06
75,중동(1기),신도시,3.4,2.92,2.92,2.91,2.85,0.034,0.07
76,판교(2기),신도시,1.9,1.73,1.56,1.82,1.7,0.108,0.26
77,광교(2기),신도시,2.5,2.47,2.4,2.56,2.4,0.076,0.16
78,동탄(2기),신도시,2.8,2.29,2.38,2.32,2.21,0.071,0.17
79,위례(2기),신도시,2.6,2.41,2.29,2.54,2.41,0.102,0.25
80,김포한강(2기),신도시,3.7,3.3,3.29,3.34,3.31,0.022,0.05
81,파주운정(2기),신도시,4.1,3.13,3.26,3.06,3.03,0.102,0.23
82,양주옥정(2기),신도시,4.4,3.57,3.65,3.5,3.6,0.063,0.15
83,고덕국제,2기,4.2,3.22,3.32,3.16,3.26,0.067,0.16
84,왕숙,3기,3.4,3.4,3.4,3.4,3.4,0.0,0.0
85,교산,3기,3.1,3.1,3.1,3.1,3.1,0.0,0.0
86,창릉,3기,3.3,3.3,3.3,3.3,3.3,0.0,0.0
87,대장,3기,3.2,3.2,3.2,3.2,3.2,0.0,0.0
88,광명시흥,3기,3.0,3.0,3.0,3.0,3.0,0.0,0.0
89,장상(공공),기타,3.7,3.7,3.7,3.7,3.7,0.0,0.0
90,청계(공공),기타,3.3,3.3,3.3,3.3,3.3,0.0,0.0
91,계양,3기,3.2,3.2,3.2,3.2,3.2,0.0,0.0
92,해운대구,부산,2.4,3.0,3.12,3.07,2.89,0.1,0.23
93,수영구,부산,2.6,3.21,3.17,3.29,3.16,0.059,0.13
94,동래구,부산,2.8,3.08,3.25,3.16,2.95,0.127,0.3
95,연제구,부산,3.0,3.26,3.37,3.3,3.18,0.079,0.19
96,남구,부산,3.1,3.33,3.43,3.41,3.3,0.062,0.13
97,부산진구,부산,3.0,3.15,3.28,3.16,3.01,0.11,0.27
98,동구,부산,3.5,3.63,3.73,3.62,3.58,0.064,0.15
99,중구,부산,3.3,3.8,3.81,3.78,3.76,0.022,0.05
100,서구,부산,3.4,3.76,3.79,3.78,3.76,0.015,0.03
101,영도구,부산,3.8,3.94,3.94,3.97,3.98,0.021,0.04
102,강서구,부산,3.9,3.24,3.43,3.18,3.19,0.116,0.25
103,사상구,부산,3.7,3.73,3.78,3.66,3.63,0.068,0.15
104,북구,부산,3.6,3.97,3.97,3.96,3.96,0.006,0.01
105,금정구,부산,3.2,3.42,3.54,3.47,3.32,0.093,0.22
106,기장군,부산,4.0,3.53,3.66,3.52,3.53,0.067,0.14
107,사하구,부산,3.8,4.01,4.01,4.02,4.03,0.01,0.02
108,대구전체,대구,3.4,3.61,3.7,3.67,3.54,0.071,0.16
109,수성구,대구,2.5,3.15,3.29,3.26,3.0,0.131,0.29
110,달서구,대구,3.0,3.56,3.68,3.61,3.47,0.088,0.21
111,북구,대구,3.3,3.82,3.87,3.87,3.78,0.044,0.09
112,동구,대구,3.5,3.63,3.73,3.67,3.55,0.075,0.18
113,중구,대구,3.2,3.6,3.66,3.61,3.49,0.072,0.17
114,서구,대구,3.7,4.12,4.13,4.15,4.12,0.014,0.03
115,남구,대구,3.6,3.61,3.78,3.69,3.58,0.09,0.2
116,달성군,대구,4.1,3.6,3.74,3.65,3.57,0.074,0.17
117,울산전체,울산,3.5,3.4,3.44,3.36,3.44,0.038,0.08
118,남구,울산,2.9,3.1,3.11,3.12,3.13,0.013,0.03
119,동구,울산,3.6,3.31,3.33,3.23,3.43,0.082,0.2
120,북구,울산,3.4,3.25,3.34,3.19,3.29,0.063,0.15
121,중구,울산,3.2,3.39,3.41,3.37,3.44,0.03,0.07
122,울주군,울산,4.0,3.55,3.61,3.46,3.61,0.071,0.15
123,강남구,서울,1.5,1.31,1.22,1.35,1.34,0.059,0.13
124,군위군,대구,4.5,4.35,4.28,4.34,4.43,0.062,0.15
125,대전서구,대전,2.8,3.27,3.41,3.36,3.23,0.082,0.18
126,대전유성구,대전,2.9,3.13,3.25,3.16,3.11,0.062,0.14
127,대전중구,대전,3.6,3.97,3.97,3.99,4.0,0.015,0.03
128,대전동구,대전,4.0,4.15,4.13,4.16,4.2,0.029,0.07
129,대전대덕구,대전,4.1,4.12,4.08,4.12,4.17,0.037,0.09
130,광주남구,광주,3.0,3.47,3.55,3.55,3.48,0.043,0.08
131,광주광산구,광주,3.3,3.38,3.5,3.34,3.34,0.076,0.16
132,광주서구,광주,3.2,3.53,3.59,3.52,3.5,0.039,0.09
133,광주북구,광주,3.5,3.65,3.73,3.66,3.65,0.039,0.08
134,광주동구,광주,3.8,3.92,3.91,3.92,3.96,0.022,0.05
135,세종시,세종,2.7,3.03,3.09,2.98,3.05,0.046,0.11
136,전주완산구,전북,3.4,3.54,3.65,3.52,3.56,0.057,0.13
137,전주덕진구,전북,3.6,3.49,3.62,3.43,3.52,0.079,0.19
138,창원성산구,경남,3.1,3.03,3.09,2.85,3.14,0.127,0.29
139,창원의창구,경남,3.2,3.03,3.11,2.81,3.16,0.155,0.35
140,김해시,경남,3.7,3.5,3.56,3.45,3.58,0.059,0.13
141,아산시,충남,3.5,3.17,3.32,3.15,3.2,0.076,0.17
142,청주흥덕구,충북,3.3,3.29,3.37,3.26,3.32,0.047,0.11
143,청주상당구,충북,3.5,3.55,3.61,3.51,3.58,0.043,0.1
144,송도국제도시,인천,2.9,2.95,2.93,3.12,2.84,0.117,0.28
